age;traveltime;failures;goout;G3;sex_F;address_U;paid_yes;romantic_yes;Parents_edu
18;2;0;4;6;True;True;False;False;4
17;1;0;3;6;True;True;False;False;1
15;1;3;2;10;True;True;True;False;1
15;1;0;2;15;True;True;True;True;4
16;1;0;2;10;True;True;True;False;3
16;1;0;2;15;False;True;True;False;4
16;1;0;4;11;False;True;False;False;2
17;2;0;4;6;True;True;False;False;4
15;1;0;2;19;False;True;True;False;3
15;1;0;1;15;False;True;True;False;4
15;1;0;3;9;True;True;True;False;4
15;3;0;2;12;True;True;False;False;2
15;1;0;3;14;False;True;True;False;4
15;2;0;3;11;False;True;True;False;4
15;1;0;2;16;False;True;False;True;2
16;1;0;4;14;True;True;False;False;4
16;1;0;3;14;True;True;True;False;4
16;3;0;2;10;True;True;False;False;3
17;1;3;5;5;False;True;False;False;3
16;1;0;3;10;False;True;True;False;4
15;1;0;1;15;False;True;False;False;4
15;1;0;2;15;False;True;True;False;4
16;1;0;1;16;False;True;False;False;4
16;2;0;4;12;False;True;False;False;2
15;1;0;2;8;True;False;True;False;4
16;1;2;2;8;True;True;True;False;2
15;1;0;2;11;False;True;True;False;2
15;1;0;4;15;False;True;True;False;4
16;1;0;3;11;False;True;False;False;4
16;1;0;5;11;False;True;True;True;4
15;1;0;2;12;False;True;True;False;4
15;2;0;1;17;False;True;False;False;4
15;1;0;2;16;False;False;False;True;4
15;1;0;2;12;False;True;False;False;3
16;1;0;3;15;False;True;True;False;3
15;2;0;1;6;True;True;False;False;3
15;1;0;3;18;False;True;False;False;4
16;2;0;3;15;False;False;False;True;4
15;1;0;2;11;True;False;True;False;4
15;1;0;1;13;True;False;True;False;2
16;2;1;3;11;True;True;False;True;2
15;1;0;3;12;False;True;False;True;4
15;1;0;3;18;False;True;False;False;4
15;1;0;1;11;False;True;False;False;2
16;2;1;3;9;True;True;False;False;2
15;1;0;2;6;True;True;True;True;4
16;1;0;5;11;True;True;False;False;3
16;1;0;2;20;False;True;False;False;4
15;1;0;3;14;False;True;True;False;4
15;1;1;4;7;True;True;False;False;4
16;3;0;3;13;True;True;True;False;2
15;1;0;3;13;True;True;True;False;4
15;2;1;5;10;False;True;False;False;4
15;1;0;4;11;True;True;True;False;4
15;1;0;4;13;True;True;True;False;3
16;1;0;4;10;True;True;True;True;2
15;1;0;2;15;True;True;True;False;4
15;1;0;2;15;False;True;False;False;4
15;1;0;2;9;False;True;False;False;2
16;1;0;3;16;True;True;False;False;4
16;1;0;4;11;True;False;False;False;4
16;4;0;5;11;True;True;False;True;1
16;1;0;3;9;True;True;False;False;2
16;1;0;4;9;True;True;True;False;4
15;1;0;4;10;True;True;False;True;4
16;3;0;3;15;True;True;False;False;4
15;1;0;3;12;False;True;False;True;4
16;1;0;3;6;True;True;True;False;3
15;2;0;3;8;True;False;True;False;2
15;2;0;2;16;True;False;False;False;3
16;2;0;2;15;False;True;True;False;3
15;1;0;3;10;False;True;False;False;4
15;1;2;4;5;True;False;False;True;1
16;1;0;2;14;False;True;False;False;3
16;1;0;3;11;True;True;True;False;3
15;1;0;3;10;False;True;True;False;4
15;2;0;3;10;False;True;False;False;4
16;1;0;3;11;True;True;True;True;2
17;2;3;1;10;False;True;False;False;2
16;1;0;3;5;True;True;False;False;4
15;1;0;2;12;False;True;True;True;3
15;1;0;2;11;False;True;True;False;3
15;1;0;4;6;True;True;True;False;3
15;2;0;3;15;False;True;True;False;2
15;1;0;2;10;True;True;False;False;1
15;2;2;4;8;True;True;True;True;4
16;1;0;4;6;True;True;False;False;2
15;1;0;3;14;True;True;False;False;4
16;2;1;2;10;False;True;True;False;2
16;1;0;3;7;False;True;False;False;4
16;1;0;3;8;True;True;True;True;3
15;1;0;5;18;True;True;True;False;4
16;1;0;3;6;True;True;False;False;3
16;2;0;3;10;True;True;True;False;4
15;1;0;4;14;False;True;False;False;2
15;2;1;2;10;True;False;True;False;1
16;2;0;3;15;False;False;False;False;4
16;1;0;5;10;True;True;True;True;2
16;1;0;4;14;True;True;False;False;4
16;1;0;5;8;True;True;True;False;4
16;1;0;5;5;False;True;True;False;4
16;1;0;3;17;False;True;False;True;4
15;1;0;3;14;False;True;False;False;4
15;2;0;5;6;True;True;True;False;3
15;1;0;4;18;False;True;True;False;4
15;1;0;3;11;True;True;False;False;3
15;1;0;2;8;True;True;True;False;2
16;1;0;3;18;False;True;False;False;3
15;4;0;5;13;False;False;True;True;4
16;1;0;5;16;True;True;True;True;4
15;1;0;3;19;False;True;False;False;4
16;1;1;2;10;True;False;False;False;3
16;1;1;2;13;True;True;False;False;2
15;1;0;2;19;False;True;False;False;4
15;1;0;2;9;False;False;False;True;2
16;1;0;4;16;False;True;False;False;4
15;2;0;3;14;False;True;False;False;4
16;2;0;2;13;False;True;False;False;3
17;3;1;4;8;False;False;False;False;3
15;1;0;3;13;False;True;False;False;4
15;1;0;3;15;True;True;False;False;2
15;1;0;4;15;False;True;True;False;2
16;2;0;2;13;True;True;True;True;4
16;1;0;4;13;False;True;False;False;4
16;1;0;4;8;True;True;True;True;2
15;1;0;5;12;False;True;False;False;4
15;1;0;2;11;True;True;False;True;4
19;1;3;2;9;True;True;False;False;1
18;1;2;3;0;False;False;False;False;2
16;1;0;5;18;False;False;True;False;4
15;2;2;2;0;True;False;False;True;4
15;3;0;3;0;True;True;False;True;1
17;1;0;4;12;True;True;False;True;2
16;1;0;1;11;True;True;False;False;4
15;4;0;3;0;False;False;False;True;4
15;1;0;3;0;True;True;False;True;4
17;3;0;5;0;False;False;False;False;4
16;2;2;2;0;True;True;False;True;3
16;1;1;4;12;False;True;False;True;1
15;2;0;2;15;True;True;False;False;4
15;2;0;2;0;False;True;False;False;4
16;2;2;3;9;False;True;False;False;2
15;1;0;2;11;True;True;True;False;4
16;1;0;4;13;True;True;False;False;1
17;1;3;5;0;False;True;False;False;2
15;1;0;2;11;True;True;True;False;1
15;1;3;2;0;True;True;False;False;3
15;1;0;2;11;True;True;True;False;2
16;1;0;2;0;False;True;False;True;4
15;4;3;5;10;False;True;False;False;2
18;1;3;5;0;False;True;False;True;1
16;1;1;4;14;False;True;False;True;2
15;2;2;1;10;True;False;True;True;3
19;1;3;4;0;False;True;False;True;3
17;1;0;1;12;True;True;False;True;4
15;1;0;4;8;False;False;True;False;3
17;1;0;2;13;False;False;False;False;2
18;3;3;5;10;True;False;False;False;1
16;3;0;2;15;False;False;False;False;2
16;1;1;5;12;False;True;True;True;3
17;2;2;2;0;False;False;False;True;2
15;2;2;4;7;False;False;False;True;3
16;2;1;4;0;False;True;False;False;2
17;1;0;3;10;False;True;False;False;3
17;4;3;5;7;False;False;False;True;1
16;2;1;2;12;False;True;False;False;3
16;1;0;5;10;False;True;False;False;2
16;1;0;3;16;True;True;True;True;4
16;1;0;5;0;True;True;True;False;2
16;1;0;2;14;True;True;True;True;4
16;3;2;5;0;False;True;False;False;4
16;2;0;2;16;False;True;True;True;1
17;1;0;4;10;False;True;True;False;4
16;1;3;5;0;True;True;False;True;3
16;2;0;5;9;True;True;True;False;3
17;2;0;4;9;False;True;True;False;4
16;2;0;4;11;True;True;True;False;2
17;1;0;4;6;False;True;False;False;3
16;1;0;3;9;False;False;False;True;4
17;1;0;3;11;False;True;False;True;4
16;1;0;3;8;False;True;True;False;4
16;1;0;3;12;False;True;True;True;3
17;1;0;2;17;True;True;False;False;4
17;1;0;3;8;True;True;False;True;3
16;1;0;2;12;True;True;True;False;3
17;1;0;4;11;False;True;False;True;3
16;1;0;3;11;False;True;True;True;2
16;1;0;3;15;False;True;True;True;2
17;1;0;3;9;True;True;False;True;3
17;1;0;3;10;False;False;False;False;2
16;1;0;3;13;True;True;False;False;3
17;1;0;3;9;True;True;False;False;1
17;2;0;4;8;False;True;True;False;2
16;1;0;2;10;False;False;False;False;3
16;2;0;3;14;False;True;False;False;3
17;1;0;2;15;True;True;False;True;4
17;1;0;3;16;False;True;False;False;4
16;3;0;4;10;False;False;True;False;3
17;2;1;4;18;True;True;False;False;4
16;1;0;2;10;True;True;True;False;4
16;1;0;5;16;True;True;False;False;4
16;1;0;3;10;True;True;True;False;3
17;1;0;4;10;True;True;True;False;1
17;1;0;2;6;True;False;False;False;2
16;2;0;5;11;True;False;True;False;2
17;1;1;3;9;True;True;True;True;4
16;1;3;3;7;True;True;True;False;3
16;1;0;2;13;True;True;True;True;4
16;2;0;2;10;True;True;True;False;1
17;2;0;2;7;True;False;True;True;4
19;1;0;3;8;True;True;True;False;3
17;1;0;5;13;False;True;True;True;4
16;1;0;4;14;True;True;True;False;2
18;1;1;4;8;False;True;True;False;2
17;1;0;1;10;True;False;True;False;4
17;2;0;4;15;True;True;True;False;3
17;1;2;5;4;True;True;True;True;4
18;1;1;4;8;False;True;True;False;3
17;2;0;3;8;True;True;True;False;3
17;1;0;3;10;True;True;True;False;2
17;2;0;5;6;True;False;False;False;2
17;1;1;4;0;True;True;False;True;1
16;1;0;1;17;True;True;False;False;3
18;2;0;3;13;False;True;True;False;2
16;1;0;2;14;True;True;False;False;4
18;1;1;3;7;True;False;False;True;3
17;1;0;4;15;True;True;False;False;3
17;1;0;3;12;False;True;True;False;3
18;4;0;2;9;False;True;True;True;2
17;2;0;3;12;True;True;False;True;2
17;1;0;3;14;True;True;False;True;4
17;2;0;2;11;False;False;True;False;2
17;1;0;5;9;False;True;False;True;4
16;1;0;4;13;False;True;True;False;4
16;2;0;2;6;False;True;True;False;1
16;2;0;3;10;False;True;False;True;3
17;1;0;2;13;False;True;True;True;2
16;1;0;2;12;True;True;False;True;2
17;3;0;1;11;True;False;False;False;2
18;1;1;4;0;False;True;False;False;2
17;2;0;5;12;False;True;False;True;4
17;2;0;3;12;False;False;True;False;4
16;1;0;5;0;False;True;False;False;4
16;1;0;2;12;False;True;False;False;4
18;2;0;4;0;True;True;True;True;2
16;3;0;3;18;False;True;False;False;2
17;2;0;2;13;False;True;False;False;3
22;1;3;5;8;False;True;False;True;3
18;1;1;3;5;False;False;False;True;3
16;1;0;2;15;False;True;True;False;2
18;2;1;5;8;False;True;False;False;3
16;3;0;3;10;False;True;False;False;3
18;1;1;5;8;False;True;False;False;2
16;2;0;2;8;False;False;False;False;2
17;1;0;2;12;False;False;False;False;2
17;2;1;4;8;False;True;False;False;1
17;1;0;3;13;True;True;True;False;4
19;1;0;1;11;False;True;False;False;4
18;1;0;4;14;False;True;False;False;2
17;1;0;1;0;True;True;True;True;2
18;1;0;2;18;True;True;True;True;4
18;1;0;2;8;False;True;True;False;4
18;1;0;2;12;False;False;False;False;3
17;1;0;3;9;True;True;False;False;3
18;1;0;3;0;True;True;True;True;2
18;2;0;5;17;False;False;True;False;4
17;1;0;4;10;False;True;True;True;3
18;2;0;4;11;True;False;True;False;4
18;1;0;5;10;False;True;True;True;4
18;2;0;5;0;True;False;False;True;2
19;1;2;5;9;True;True;True;False;3
18;1;0;5;14;True;True;True;True;3
18;2;0;3;11;True;True;True;False;1
17;1;0;2;14;False;False;True;True;2
17;2;0;3;10;True;True;True;True;4
17;2;0;4;12;True;True;True;True;2
18;2;0;1;9;True;False;False;True;3
18;2;0;4;9;False;True;True;False;4
18;1;1;4;8;True;True;False;True;4
18;2;0;3;10;False;True;True;False;4
17;2;0;4;8;False;True;True;True;4
17;1;1;4;10;False;True;False;False;3
18;2;0;2;12;True;False;True;False;1
18;2;0;4;10;True;True;False;False;1
17;1;0;5;11;True;True;False;False;2
17;1;0;3;11;False;True;True;False;1
18;1;0;3;19;True;True;True;False;2
17;1;0;3;12;True;True;True;False;1
18;1;0;4;14;False;True;True;False;2
18;1;0;3;15;False;True;True;False;4
18;1;0;2;11;False;True;True;True;4
17;1;0;2;15;True;True;True;False;4
18;1;1;3;13;True;True;False;True;2
17;2;0;2;18;True;False;True;False;3
18;2;0;2;14;False;False;True;False;3
17;1;0;3;11;False;True;True;False;3
19;2;0;4;0;True;True;True;False;4
18;2;0;5;8;True;True;True;True;4
18;1;0;3;14;True;True;True;False;4
18;1;0;2;16;False;True;True;True;4
18;1;0;4;11;True;True;False;True;4
17;2;0;1;10;False;True;True;False;4
17;2;0;3;14;True;True;True;False;4
17;1;0;2;18;True;True;True;False;3
19;1;1;4;13;False;True;False;True;3
18;1;1;3;12;True;True;True;False;4
20;1;0;3;18;False;True;False;False;3
19;2;1;4;8;False;True;True;True;4
19;1;1;3;12;False;False;False;True;3
19;1;1;3;10;True;True;False;False;1
19;1;1;4;0;True;True;False;True;2
19;3;0;1;13;True;True;False;True;2
19;1;1;2;11;False;True;False;False;2
19;2;1;2;11;True;True;True;True;3
19;1;2;2;13;True;True;False;True;1
19;1;1;2;11;True;False;False;True;3
18;2;0;3;0;True;True;True;False;2
18;1;0;4;9;True;True;True;True;4
17;1;0;4;10;True;False;True;False;4
18;1;0;4;11;True;True;True;False;4
17;1;0;2;13;True;True;True;True;4
17;1;0;2;9;True;True;False;True;2
17;1;0;2;11;True;False;True;False;2
17;1;0;3;15;True;True;False;False;3
17;2;0;3;15;True;True;False;False;2
18;1;0;3;11;False;True;False;False;4
17;1;0;5;16;False;True;False;False;3
17;4;0;5;10;False;False;False;False;2
17;1;0;4;9;True;True;True;False;4
17;2;0;3;14;True;True;True;True;4
18;1;0;5;8;False;True;False;False;2
17;1;0;3;14;True;False;False;True;4
18;1;0;4;0;True;True;False;False;3
18;1;0;3;0;True;True;False;True;2
18;2;0;4;0;True;False;False;False;2
17;1;0;5;15;True;True;False;False;4
19;1;1;3;13;True;False;True;False;3
17;1;0;2;0;True;True;True;True;3
18;1;0;3;17;True;True;False;False;3
17;1;0;3;10;True;False;True;False;3
19;1;1;4;11;True;True;True;True;2
18;1;1;3;0;False;True;False;False;4
18;1;0;3;15;False;True;False;True;4
17;1;1;1;0;True;True;False;True;2
18;1;0;3;10;True;True;False;False;3
18;1;0;3;14;True;True;False;True;3
18;1;0;2;16;False;False;False;True;4
18;1;0;5;9;False;True;True;True;4
17;1;0;3;15;True;True;True;True;4
18;2;1;5;13;False;False;False;False;3
19;3;3;4;8;False;False;False;False;1
17;2;0;4;13;False;True;True;False;3
18;1;1;3;8;False;True;False;True;3
19;3;1;4;8;False;False;False;False;1
17;2;0;5;11;False;False;True;True;4
18;1;0;4;9;True;True;False;True;3
17;2;0;3;13;True;False;True;False;4
17;2;0;3;11;True;True;False;True;3
18;2;0;2;10;False;True;False;True;1
18;2;0;2;16;True;True;False;False;1
18;3;0;4;13;True;False;False;True;4
18;2;1;3;12;False;False;False;False;1
18;2;0;2;10;True;True;False;True;3
17;1;0;4;15;True;True;True;True;4
17;2;0;2;12;True;False;False;False;2
18;2;0;4;10;False;False;True;False;3
18;2;0;2;13;False;True;True;True;4
17;3;1;1;0;True;False;True;True;1
18;2;0;3;10;True;True;True;True;3
18;3;0;2;11;True;False;True;True;4
19;2;2;2;9;True;True;False;True;3
18;3;0;3;12;False;False;True;True;2
17;1;0;3;11;True;True;False;True;2
17;1;0;5;5;True;False;False;False;2
18;2;0;4;19;True;False;False;False;4
18;4;0;2;10;True;False;False;False;1
20;2;2;3;15;True;True;True;True;4
18;1;0;3;10;True;False;True;False;4
18;1;0;3;15;True;True;True;True;3
17;1;0;4;10;True;False;True;False;3
18;1;0;4;14;False;True;True;False;4
18;2;0;3;7;False;False;False;True;2
17;2;0;3;10;False;True;False;False;3
19;2;1;2;0;False;False;False;False;1
18;2;1;3;5;False;False;True;False;4
18;2;0;3;10;True;False;True;False;2
18;3;0;3;6;True;False;True;True;4
19;1;1;2;0;True;False;False;False;3
18;1;0;4;8;True;True;True;False;3
18;2;1;1;0;True;True;False;False;1
20;1;2;4;9;False;True;True;False;2
17;2;0;5;16;False;True;False;False;3
21;1;3;3;7;False;False;False;False;1
18;3;0;1;10;False;False;False;False;3
19;1;0;3;9;False;True;False;False;1
